"Text","Comment"
"¡Has encontrado {x0d21}!",""
"El sonido se ha desvanecido en el lago...",""
"Hasta donde alcanza la vista
el suelo está cubierto de piedras
de todos colores... ¡con cara humana!",""
"Una piedra negra comienza a
hablar solemnemente...
─El tesoro ha de estar en la
dirección de la estrella polar...",""
"Una piedra blanca dice con desgano:
─Al este...",""
"Una piedra blanca dice con desgano:
─Al oeste...",""
"Una piedra blanca dice con desgano:
─Al sur...",""
"Una piedra blanca dice con desgano:
─Al norte...",""
"Una piedra roja dice de prisa:
─Las azules son unas mentirosas.",""
"Una piedra roja dice de prisa:
─Te digo que el tesoro está al este.",""
"Una piedra roja dice de prisa:
─Te digo que el tesoro está al oeste.",""
"Una piedra roja dice de prisa:
─Te digo que el tesoro está al sur.",""
" Una piedra roja dice de prisa:
─Te digo que el tesoro está al norte.",""
"Una piedra roja dice de prisa:
─Te digo que el tesoro no está aquí.",""
"Una piedra azul murmura:
─¿Qué sé yo dónde está el tesoro?",""
"Una piedra azul murmura:
─“Piedras mentirosas”...
Así es como nos llaman.",""
"Una piedra azul murmura:
─Algunas dicen siempre lo mismo.",""
"Una piedra azul murmura:
─Algunas inventan todo lo que dicen.",""
"Una piedra azul murmura:
─Algunas dicen siempre lo contrario.",""
"Aquí sólo hay escombros
esparcidos en la hierba.",""
"Nada fuera de lo común.",""
"(¿Y esto? ¿Será parte de algo?)",""
"(Es muy similar a una piedra
que recogí antes...)",""
"(Parece que las tengo todas.)",""
"─Creo que no hay más piedras.",""
"─Si no está por aquí cerca...
¿Habrá tomado el tren para Dollet?",""
"(Ahora recuerdo... Ésta es
la casa de Edea.
Pero ¿qué será este rumor sordo?
Como si aquí cerca hubiera
algo inmenso...)",""
".",""
"?
Sí.
No.",""
