"Text","Comment"
"Una roccia con la faccia bianca ti dice:
“A Nord.”",""
"Una roccia con la faccia rossa ti dice:
“Il blu è un bugiardo!”",""
"Una roccia con la faccia rossa ti dice:
“Il tesoro è ad Est!”",""
"Una roccia con la faccia rossa ti dice:
“Il tesoro è ad Ovest!”",""
"Una roccia con la faccia rossa ti dice:
“Il tesoro è a Sud!”",""
"Una roccia con la faccia rossa ti dice:
“Il tesoro è a Nord!”",""
"Una roccia con la faccia rossa ti dice:
“Il tesoro qui non c'è!”",""
"Una roccia con la faccia blu ti dice:
“...Non so dove sta il tesoro!”",""
"Una roccia con la faccia blu ti dice:
“...Tutti ci chiamano sempre
 pietre bugiarde.”",""
"Una roccia con la faccia blu ti dice:
“...Ci sono pietre che dicono
 sempre la stessa cosa.”",""
"Una roccia con la faccia blu ti dice:
“...Alcune di noi dicono
 cose che non hanno senso.”",""
"Una roccia con la faccia blu ti dice:
“...Alcune di noi dicono
 sempre il contrario di tutto.”",""
"Qui ci sono solo delle
rovine che riposano nell'erba...",""
"Assolutamente niente.",""
"(È questa.........parte di qualche cosa?)",""
"(È uguale alla roccia che ho preso prima...)",""
"(Dovrebbero esserci tutte...)",""
"“Le rocce dovrebbero esserci tutte.”",""
"“Se il signor scimmia non è qua vicino
 ...forse ha preso il treno per {Dollet}.”",""
"(Mi ricordo......questa è la casa di Edea.
 Ma cos'è questa sensazione?
 C'è qualcosa di enorme, qua vicino.)",""
".",""
"?
Sì
No",""
