"ita","Comment"
"Chocoboy
“Sono mansueti, non c'è pericolo.”",""
"Chocoboy
“Ti rispiego velocemente tutto.
 Con {x0527} scegli il {Yellow}Sonar{White},
 con {x0524} lo fai suonare.
 Un {WhiteBlink}suono{White} indica dove sta il Kochocobo.
 Con {x0527} scegli lo {Yellow}Ziner{White},
 con {x0524} lo fai {WhiteBlink}cadere giù.{White}”",""
"Chocoboy
“Quando parlerai al solo Kochocobo rimasto,
 TA_DAAN ♫, di colpo apparirà la mamma.”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}non si trova vicino{White} a te è...”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}si trova vicino{White} a te è...”",""
"Chocoboy
“Spero tu abbia capito.”",""
"Chocoboy
“Se sei stanco, non ti preoccupare,
 sono qui per questo!
 Premi {x0527} e scegli {Yellow}Aiutami!{White}
 Te lo prenderò io per un {YellowBlink}prezzo stracciato!{White}”",""
"Chocoboy
“Se suoni lo {Yellow}Ziner{White} dove non ci sono
 Kochocobo, il tuo flauto verrà {Yellow}rubato{White}
 e dovrai {YellowBlink}pagare{White} per averne un altro.”",""
"Chocoboy
“Bene, buona fortuna!”",""
"Chocoboy
“Mi hai chiamato? Sei stanco?
 Te lo prendo per 1200 guil.”
 Sì
 No",""
"Chocoboy
“Grazie! Ora ti faccio vedere
 la mia super-tecnica.”",""
"Chocoboy
“Vieni dai, vieni dai, Chocobo...”",""
"Chocoboy
“TI HO DETTO VIENI CHOCOBO!!”",""
"Chocoboy
“He he he{WhiteBlink}!{White} Ecco qua!”",""
"Chocoboy
“Visto come si fa?
 Chiamami quando vuoi, Ok?”",""
"(Oh no...mi hanno rubato il flauto!)",""
"(Uhm? È tornato indietro!)",""
"Chocoboy
“Cosa?? Ti hanno rubato il flauto?”",""
"Chocoboy
“He he he, mi dispiace!
 Devi comprarne uno nuovo: 700 guil.”
Pago
Non pago",""
"Chocoboy
“Hai qualche domanda?”
 Il Chocosonar
 Il Chocoziner
 Il Chocobosco
 Domande su di me?",""
"Chocoboy
“È come un sensore, si attiva
 quando avverte l'odore del Chocobo.”",""
"Chocoboy
“Suona una melodia che provoca nel
 Chocobo una strana reazione.”",""
"Chocoboy
“Esistono 7 Chocoboschi.
 Uno sembra essere terra sacra......
 In tutti gli altri 6 vivono i Chocobo.”",""
"Chocoboy
“Io? Sono un cattura-Chocobo esperto.
 I Chocobo sono la mia specialità.”",""
"Chocoboy
“Cosa posso fare per te?”
 1 suggerimento {Yellow}:{White} 100 guil
 Erba Ghisal {Yellow}:{White} 10x600 guil
 Domande {Yellow}:{White} quasi gratis, 10 guil
 Niente",""
"Chocoboy
“Il ‘bosco del gioco':
 Chocobowling con 4 birilli e 1 palla.”",""
"Chocoboy
“Grazie mille!”",""
"Chocoboy
“Non hai soldi sufficienti.”",""
"Monto sul Chocobo e esco dal bosco
Sto ancora un po' nel bosco",""
"“Sei salito sul Chocobo!”",""
"“Becca il terreno.”",""
"Ottenuto: Gemma Meteo!",""
"Ottenuto: Gemma Flare!",""
"Ottenuto: Gemma Ultima!",""
"Chocoboy
“Siete nel {Blue}【Chocobosco: {White}Liv. avanzato{Blue}】{White}.
 Se state tutti qui, spaventerete il Chocobo.”",""
"Chocoboy
“Sei nel {Blue}【Chocobosco: {White}Liv. avanzato{Blue}】{White}.”",""
"Chocoboy
“Ehi, il Chocobo ti ha
 dato un oggetto segreto. È la
 ‘prova d'affetto' del Chocobo.”",""
"Chocoboy
“Il Chocobo ti considera suo amico.
 Non serve che cerchi altro qua dentro.”",""
"Chocoboy
“Ah...sto perdendo clienti.”",""
"Chocoboy
“Congratulazioni!!”",""
"Chocoboy
“Non hai ancora trovato niente?
 Mah......non ti preoccupare!”",""
"#cwwood6","292"
"Chocoboy
“Allora...”",""
"Chocoboy
“Congratulazioni per la prima presa!”",""
"Chocoboy
“E ora...presentiamo la dinamica
 offerta del Chocobo!!”",""
"{Squall}
“Posso andarmene?”",""
"Chocoboy
“No, aspetta, aspetta”",""
"Chocoboy
“Come premio per la prima presa
 ti darò un Kochocobo in regalo.”",""
"{Squall}
“No, veramente......”",""
"Chocoboy
“Forza, dagli un nome!”",""
"Chocoboy
“Come capirai dal sottofondo musicale
 è l'ora del ‘Chocobo World'!!”",""
"Chocoboy
“È facile!”",""
"Chocoboy
“Scegli ‘Salva' dal menu
 e quindi ‘Chocobo World'.”",""
"Chocoboy
“Così, puoi comunicare con
‘Chocobo World'.”",""
"Chocoboy
“Bene, buon viaggio
 e divertiti!”",""
"Chocoboy
“Vuoi tentare di nuovo? Grazie
 della preferenza accordatami!”",""
"Chocoboy
“Istruzioni......?”
 Non servono
 Servono",""
"Chocoboy
“Me lo immaginavo!
 Forza allora!”",""
"{Yellow}♫{White}             Il menu del Chocoflauto             {Yellow}♫
{White}Per trovare il Chocobo:   'ChocoSonar'
Per catturare il Chocobo: 'ChocoZiner'
Aiutami!
Meglio morire che suonare questo flauto",""
"Chocoboy
“Ah! Vuoi prendere il Chocobo?”
 Sì
 No",""
"Chocoboy
“Ti serve un flauto speciale,
 si chiama: {Yellow}‘Chocoflauto'{White}.”
 Costa soldi?
 Non lo voglio",""
"Chocoboy
“No, te lo regalo!
 Guarda, te ne do 2 tipi, Ok?”",""
"Chocoboy
“Però devi darmi 1000 guil per
 le lezioni d'uso e l'attestato.”
 Pago
 Non pago",""
"Chocoboy
“Grazie!”",""
"Chocoboy
“Ora ti spiego come funzionano:
 il {Yellow}Chocosonar{White} misura la {Yellow}posizione{White},
 il {Yellow}Chocoziner{White} permette l'{Yellow}azione{White}.”",""
"Chocoboy
“Se suoni il {Yellow}Chocoziner{White} in un punto del bosco,
 il Kochocobo, attirato dalla musica, {WhiteBlink}cadrà giù{White}.
 Puoi capire {WhiteBlink}dove{White} usando il {Yellow}Chocosonar{White}.
 Usa {x0527} per scegliere il flauto
 e {x0524} per suonarlo camminando.”",""
"{Squall}
“Non voglio il Kochocobo,
 ne voglio uno grande da cavalcare.”",""
"Chocoboy
“No, ascoltami!
 Se resta {YellowBlink}1{White} solo Kochocobo, la mamma
 Chocobo si preoccupa e lo cerca.”",""
"{Squall}
“E allora lo potrò
 prendere...”",""
"Chocoboy
“ESATTO!”",""
"Chocoboy
“Sono mansueti, non c'è pericolo.”",""
"Chocoboy
“Ti rispiego velocemente tutto.
 Con {x0527} scegli il {Yellow}Sonar{White},
 con {x0524} lo fai suonare.
 Un {WhiteBlink}suono{White} indica dove sta il Kochocobo.
 Con {x0527} scegli lo {Yellow}Ziner{White},
 con {x0524} lo fai {WhiteBlink}cadere giù.{White}”",""
"Chocoboy
“Quando parlerai al solo Kochocobo rimasto,
 TA_DAAN ♫, di colpo apparirà la mamma.”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}non si trova vicino{White} a te è...”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}si trova vicino{White} a te è...”",""
"Chocoboy
“Spero tu abbia capito.”",""
"Chocoboy
“Se sei stanco, non ti preoccupare,
 sono qui per questo!
 Premi {x0527} e scegli {Yellow}Aiutami!{White}
 Te lo prenderò io per un {YellowBlink}prezzo stracciato!{White}”",""
"Chocoboy
“Se suoni lo {Yellow}Ziner{White} dove non ci sono
 Kochocobo, il tuo flauto verrà {Yellow}rubato{White}
 e dovrai {YellowBlink}pagare{White} per averne un altro.”",""
"Chocoboy
“Bene, buona fortuna!”",""
"Chocoboy
“Mi hai chiamato? Sei stanco?
 Te lo prendo per 1200 guil.”
 Sì
 No",""
"Chocoboy
“Grazie! Ora ti faccio vedere
 la mia super-tecnica.”",""
"Chocoboy
“Vieni dai, vieni dai, Chocobo...”",""
"Chocoboy
“TI HO DETTO VIENI CHOCOBO!!”",""
"Chocoboy
“He he he{WhiteBlink}!{White} Ecco qua!”",""
"Chocoboy
“Visto come si fa?
 Chiamami quando vuoi, Ok?”",""
"(Oh no...mi hanno rubato il flauto!)",""
"(Uhm? È tornato indietro!)",""
"Chocoboy
“Cosa?? Ti hanno rubato il flauto?”",""
"Chocoboy
“He he he, mi dispiace!
 Devi comprarne uno nuovo: 700 guil.”
Pago
Non pago",""
"Chocoboy
“Hai qualche domanda?”
 Il Chocosonar
 Il Chocoziner
 Il Chocobosco
 Domande su di me?",""
"Chocoboy
“È come un sensore, si attiva
 quando avverte l'odore del Chocobo.”",""
"Chocoboy
“Suona una melodia che provoca nel
 Chocobo una strana reazione.”",""
"Chocoboy
“Esistono 7 Chocoboschi.
 Uno sembra essere terra sacra......
 In tutti gli altri 6 vivono i Chocobo.”",""
"Chocoboy
“Io? Sono un cattura-Chocobo esperto.
 I Chocobo sono la mia specialità.”",""
"Chocoboy
“Cosa posso fare per te?”
 1 suggerimento {Yellow}:{White} 100 guil
 Erba Ghisal {Yellow}:{White} 5x600 guil
 Domande {Yellow}:{White} quasi gratis, 10 guil
 Niente",""
"Chocoboy
“Il ‘bosco della solitudine':
 cerca bene vicino a me!",""
"Chocoboy
“Grazie mille!”",""
"Chocoboy
“Non hai soldi sufficienti.”",""
"Monto sul Chocobo e esco dal bosco
Sto ancora un po' nel bosco",""
"“Sei salito sul Chocobo!”",""
"“Becca il terreno.”",""
"Ottenuto: Gemma Protect!",""
"Ricevuto: Gemma Meteo!",""
"Chocoboy
“State nel {Blue}【Chocobosco: {White}Liv. intermedio{Blue}】{White}.
 Se state tutti qui, spaventerete il Chocobo.”",""
"Chocoboy
“Sei nel {Blue}【Chocobosco: {White}Liv. intermedio{Blue}】{White}.”",""
"Chocoboy
“L'avevo trovato io ma non l'ho preso
 perché è la ‘prova d'affetto' del Chocobo.”",""
"Chocoboy
“Anche se suono il Chocoziner non funziona.
 Vorrei anch'io essere loro amico.”",""
"Chocoboy
“Non vorrei fare del commercio”
 anche qui. Giusto?”",""
"Chocoboy
“Ma come...maled...cioè...complimenti!”",""
"Chocoboy
“Che cosa c'è?",""
"Chocoboy
“Uh!?”",""
"Chocoboy
“......Sì”",""
"Chocoboy
“Ahhh...”",""
"“C-Carte?? V-Vuoi giocare a carte?”
 Sì
 No
 No, ma togliti da là",""
"{Squall}
“Scusa......ancora un po'.”",""
"Zell
“No, no aspetta......ancora un po'.”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Balamb a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Galbadia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Trabia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Centra a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Dollet a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di F.H. a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 dello spazio a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Esthar a queste?”",""
"Hai bisogno di almeno
5 carte per giocare.",""
"Regola: {Blue}‘Carte scoperte'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Plus'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Elementale'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Carte scoperte'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Plus'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Elementale'{White}
abolita da questa zona.",""
"#cwwood5","291"
"Chocoboy
“Allora...”",""
"Chocoboy
“Congratulazioni per la prima presa!”",""
"Chocoboy
“E ora...presentiamo la dinamica
 offerta del Chocobo!!”",""
"{Squall}
“Posso andarmene?”",""
"Chocoboy
“No, aspetta, aspetta”",""
"Chocoboy
“Come premio per la prima presa
 ti darò un Kochocobo in regalo.”",""
"{Squall}
“No, veramente......”",""
"Chocoboy
“Forza, dagli un nome!”",""
"Chocoboy
“Come capirai dal sottofondo musicale
 è l'ora del ‘Chocobo World'!!”",""
"Chocoboy
“È facile!”",""
"Chocoboy
“Scegli ‘Salva' dal menu
 e quindi ‘Chocobo World'.”",""
"Chocoboy
“Così, puoi comunicare con
‘Chocobo World'.”",""
"Chocoboy
“Bene, buon viaggio
 e divertiti!”",""
"Chocoboy
“Vuoi tentare di nuovo? Grazie
 della preferenza accordatami!”",""
"Chocoboy
“Istruzioni......?”
 Non servono
 Servono",""
"Chocoboy
“Me lo immaginavo!
 Forza allora!”",""
"{Yellow}♫{White}             Il menu del Chocoflauto             {Yellow}♫
{White}Per trovare il Chocobo:   'ChocoSonar'
Per catturare il Chocobo: 'ChocoZiner'
Aiutami!
Meglio morire che suonare questo flauto",""
"Chocoboy
“Ah! Vuoi prendere il Chocobo?”
 Sì
 No",""
"Chocoboy
“Ti serve un flauto speciale,
 si chiama: {Yellow}‘Chocoflauto'{White}.”
 Costa soldi?
 Non lo voglio",""
"Chocoboy
“No, te lo regalo!
 Guarda, te ne do 2 tipi, Ok?”",""
"Chocoboy
“Però devi darmi 1000 guil per
 le lezioni d'uso e l'attestato.”
 Pago
 Non pago",""
"Chocoboy
“Grazie!”",""
"Chocoboy
“Ora ti spiego come funzionano:
 il {Yellow}Chocosonar{White} misura la {Yellow}posizione{White},
 il {Yellow}Chocoziner{White} permette l'{Yellow}azione{White}.”",""
"Chocoboy
“Se suoni il {Yellow}Chocoziner{White} in un punto del bosco,
 il Kochocobo, attirato dalla musica, {WhiteBlink}cadrà giù{White}.
 Puoi capire {WhiteBlink}dove{White} usando il {Yellow}Chocosonar{White}.
 Usa {x0527} per scegliere il flauto
 e {x0524} per suonarlo camminando.”",""
"{Squall}
“Non voglio il Kochocobo,
 ne voglio uno grande da cavalcare.”",""
"Chocoboy
“No, ascoltami!
 Se resta {YellowBlink}1{White} solo Kochocobo, la mamma
 Chocobo si preoccupa e lo cerca.”",""
"{Squall}
“E allora lo potrò
 prendere...”",""
"Chocoboy
“ESATTO!”",""
"Chocoboy
“Sono mansueti, non c'è pericolo.”",""
"Chocoboy
“Ti rispiego velocemente tutto.
 Con {x0527} scegli il {Yellow}Sonar{White},
 con {x0524} lo fai suonare.
 Un {WhiteBlink}suono{White} indica dove sta il Kochocobo.
 Con {x0527} scegli lo {Yellow}Ziner{White},
 con {x0524} lo fai {WhiteBlink}cadere giù.{White}”",""
"Chocoboy
“Quando parlerai al solo Kochocobo rimasto,
 TA_DAAN ♫, di colpo apparirà la mamma.”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}non si trova vicino{White} a te è...”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}si trova vicino{White} a te è...”",""
"Chocoboy
“Spero tu abbia capito.”",""
"Chocoboy
“Se sei stanco, non ti preoccupare,
 sono qui per questo!
 Premi {x0527} e scegli {Yellow}Aiutami!{White}
 Te lo prenderò io per un {YellowBlink}prezzo stracciato!{White}”",""
"Chocoboy
“Se suoni lo {Yellow}Ziner{White} dove non ci sono
 Kochocobo, il tuo flauto verrà {Yellow}rubato{White}
 e dovrai {YellowBlink}pagare{White} per averne un altro.”",""
"Chocoboy
“Bene, buona fortuna!”",""
"Chocoboy
“Mi hai chiamato? Sei stanco?
 Te lo prendo per 1200 guil.”
 Sì
 No",""
"Chocoboy
“Grazie! Ora ti faccio vedere
 la mia super-tecnica.”",""
"Chocoboy
“Vieni dai, vieni dai, Chocobo...”",""
"Chocoboy
“TI HO DETTO VIENI CHOCOBO!!”",""
"Chocoboy
“He he he{WhiteBlink}!{White} Ecco qua!”",""
"Chocoboy
“Visto come si fa?
 Chiamami quando vuoi, Ok?”",""
"(Oh no...mi hanno rubato il flauto!)",""
"(Uhm? È tornato indietro!)",""
"Chocoboy
“Cosa?? Ti hanno rubato il flauto?”",""
"Chocoboy
“He he he, mi dispiace!
 Devi comprarne uno nuovo: 700 guil.”
Pago
Non pago",""
"Chocoboy
“Hai qualche domanda?”
 Il Chocosonar
 Il Chocoziner
 Il Chocobosco
 Domande su di me?",""
"Chocoboy
“È come un sensore, si attiva
 quando avverte l'odore del Chocobo.”",""
"Chocoboy
“Suona una melodia che provoca nel
 Chocobo una strana reazione.”",""
"Chocoboy
“Esistono 7 Chocoboschi.
 Uno sembra essere terra sacra......
 In tutti gli altri 6 vivono i Chocobo.”",""
"Chocoboy
“Io? Sono un cattura-Chocobo esperto.
 I Chocobo sono la mia specialità.”",""
"Chocoboy
“Cosa posso fare per te?”
 1 suggerimento {Yellow}:{White} 100 guil
 Erba Ghisal {Yellow}:{White} 10x600 guil
 Domande {Yellow}:{White} quasi gratis, 10 guil
 Niente",""
"Chocoboy
“Il ‘bosco del recinto': cerca prima
 nei lati e poi al centro.”",""
"Chocoboy
“Grazie mille!”",""
"Chocoboy
“Non hai soldi sufficienti.”",""
"Monto sul Chocobo e esco dal bosco
Sto ancora un po' nel bosco",""
"“Sei salito sul Chocobo!”",""
"“Becca il terreno.”",""
"Ottenuto: Gemma Meteo!",""
"Ottenuto: Gemma Sancta!",""
"Ottenuto: Gemma Ultima!",""
"Chocoboy
“Siete nel {Blue}【Chocobosco: {White}Liv. avanzato{Blue}】{White}.
 Se state tutti qui, spaventerete il Chocobo.”",""
"Chocoboy
“Sei nel {Blue}【Chocobosco: {White}Liv. avanzato{Blue}】{White}.”",""
"Chocoboy
“Il Chocobo ti ha dato un oggetto?
 È la ‘prova d'affetto' del Chocobo!",""
"Chocoboy
“Il Chocobo ti considera suo amico.
 Non serve che cerchi altro qua dentro!”",""
"Chocoboy
“Ah...sto perdendo clienti.”",""
"Chocoboy
“Congratulazioni!!”",""
"Chocoboy
“Non hai ancora trovato niente?
 Mah......non ti preoccupare!”",""
"#cwwood4","290"
"“Ti hanno rubato 600 guil.”",""
"Ottenuto: Erba Ghisal!",""
"{Squall}
“Mi dai qualcosa??”",""
"Ottenuto: Carta Kochocobo!",""
"Chocoboy
“Sono un po'...geloso!”",""
"Chocoboy
“È il tuo ultimo ‘Aiutami'?”
 Sì
 No",""
"Chocoboy
“Spero che ci rivedremo.
 Grazie di tutto!”",""
"Chocoboy
“È difficile dirsi addio!”",""
"Chocoboy
“Tutti i Chocobo del mondo sono
 concentrati qui. Che fortuna, vero?”",""
"Chocoboy
“Eh!? Hai già trovato questo bosco?
 Mi ci sono voluti 3 anni per trovarlo.
 Qui è un luogo sacro, niente business!”",""
"Chocoboy
“I Chocobo di tutte le parti
 del mondo si riuniscono qui.
 Che succederebbe se venissero tutti!?”",""
"Chocoboy
“Tutti i Chocobo che ti hanno dato
 ‘prova d'affetto' sono riuniti qui.”",""
"Chocoboy
“E ora ti farò vedere la mia
 ultima tecnica speciale.”",""
"Chocoboy
“Vieni dai, vieni dai Chocobo!”",""
"Chocoboy
“TI HO DETTO VIENI CHOCOBO!!”",""
"Chocoboy
“He he {Grey}he{White}, {Grey}!{White}ecco qua{Grey}!{White}”",""
"Chocoboy
“Spero che ci vedremo ancora{WhiteBlink}!{White}”",""
"Chocoboy
“Ti servono suggerimenti?”
 Suggerimento 1
 Suggerimento 2",""
"Monto sul Chocobo ed esco...
Sto ancora nel bosco......",""
"“Sei salito sul Chocobo!”",""
"“Becca il terreno.”",""
"Chocoboy
“Siete nel {Blue}【Chocobosco】{White}...
 Non venite in gruppo, è luogo sacro!”",""
"#cwwood3","289"
"Chocoboy
“Allora...”",""
"Chocoboy
“Congratulazioni per la prima presa!”",""
"Chocoboy
“E ora...presentiamo la dinamica
 offerta del Chocobo!!”",""
"{Squall}
“Posso andarmene?”",""
"Chocoboy
“No, aspetta, aspetta”",""
"Chocoboy
“Come premio per la prima presa
 ti darò un Kochocobo in regalo.”",""
"{Squall}
“No, veramente......”",""
"Chocoboy
“Forza, dagli un nome!”",""
"Chocoboy
“Come capirai dal sottofondo musicale
 è l'ora del ‘Chocobo World'!!”",""
"Chocoboy
“È facile!”",""
"Chocoboy
“Scegli ‘Salva' dal menu
 e quindi ‘Chocobo World'.”",""
"Chocoboy
“Così, puoi comunicare con
‘Chocobo World'.”",""
"Chocoboy
“Bene, buon viaggio
 e divertiti!”",""
"Chocoboy
“Vuoi tentare di nuovo? Grazie
 della preferenza accordatami!”",""
"Chocoboy
“Istruzioni......?”
 Non servono
 Servono",""
"Chocoboy
“Me lo immaginavo!
 Forza allora!”",""
"{Yellow}♫{White}             Il menu del Chocoflauto             {Yellow}♫
{White}Per trovare il Chocobo:   'ChocoSonar'
Per catturare il Chocobo: 'ChocoZiner'
Aiutami!
Meglio morire che suonare questo flauto",""
"Chocoboy
“Ah! Vuoi prendere il Chocobo?”
 Sì
 No",""
"Chocoboy
“Ti serve un flauto speciale,
 si chiama: {Yellow}‘Chocoflauto'{White}.”
 Costa soldi?
 Non lo voglio",""
"Chocoboy
“No, te lo regalo!
 Guarda, te ne do 2 tipi, Ok?”",""
"Chocoboy
“Però devi darmi 1000 guil per
 le lezioni d'uso e l'attestato.”
 Pago
 Non pago",""
"Chocoboy
“Grazie!”",""
"Chocoboy
“Ora ti spiego come funzionano:
 il {Yellow}Chocosonar{White} misura la {Yellow}posizione{White},
 il {Yellow}Chocoziner{White} permette l'{Yellow}azione{White}.”",""
"Chocoboy
“Se suoni il {Yellow}Chocoziner{White} in un punto del bosco,
 il Kochocobo, attirato dalla musica, {WhiteBlink}cadrà giù{White}.
 Puoi capire {WhiteBlink}dove{White} usando il {Yellow}Chocosonar{White}.
 Usa {x0527} per scegliere il flauto
 e {x0524} per suonarlo camminando.”",""
"{Squall}
“Non voglio il Kochocobo,
 ne voglio uno grande da cavalcare.”",""
"Chocoboy
“No, ascoltami!
 Se resta {YellowBlink}1{White} solo Kochocobo, la mamma
 Chocobo si preoccupa e lo cerca.”",""
"{Squall}
“E allora lo potrò
 prendere...”",""
"Chocoboy
“ESATTO!”",""
"Chocoboy
“Sono mansueti, non c'è pericolo.”",""
"Chocoboy
“Ti rispiego velocemente tutto.
 Con {x0527} scegli il {Yellow}Sonar{White},
 con {x0524} lo fai suonare.
 Un {WhiteBlink}suono{White} indica dove sta il Kochocobo.
 Con {x0527} scegli lo {Yellow}Ziner{White},
 con {x0524} lo fai {WhiteBlink}cadere giù.{White}”",""
"Chocoboy
“Quando parlerai al solo Kochocobo rimasto,
 TA_DAAN ♫, di colpo apparirà la mamma.”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}non si trova vicino{White} a te è...”",""
"Chocoboy
“Il suono del sonar quando il Kochocobo
 {Yellow}si trova vicino{White} a te è...”",""
"Chocoboy
“Spero tu abbia capito.”",""
"Chocoboy
“Se sei stanco, non ti preoccupare,
 sono qui per questo!
 Premi {x0527} e scegli {Yellow}Aiutami!{White}
 Te lo prenderò io per un {YellowBlink}prezzo stracciato!{White}”",""
"Chocoboy
“Se suoni lo {Yellow}Ziner{White} dove non ci sono
 Kochocobo, il tuo flauto verrà {Yellow}rubato{White}
 e dovrai {YellowBlink}pagare{White} per averne un altro.”",""
"Chocoboy
“Bene, buona fortuna!”",""
"Chocoboy
“Mi hai chiamato? Sei stanco?
 Te lo prendo per 1200 guil.”
 Sì
 No",""
"Chocoboy
“Grazie! Ora ti faccio vedere
 la mia super-tecnica.”",""
"Chocoboy
“Vieni dai, vieni dai, Chocobo...”",""
"Chocoboy
“TI HO DETTO VIENI CHOCOBO!!”",""
"Chocoboy
“He he he{WhiteBlink}!{White} Ecco qua!”",""
"Chocoboy
“Visto come si fa?
 Chiamami quando vuoi, Ok?”",""
"(Oh no...mi hanno rubato il flauto!)",""
"(Uhm? È tornato indietro!)",""
"Chocoboy
“Cosa?? Ti hanno rubato il flauto?”",""
"Chocoboy
“He he he, mi dispiace!
 Devi comprarne uno nuovo: 700 guil.”
Pago
Non pago",""
"Chocoboy
“Hai qualche domanda?”
 Il Chocosonar
 Il Chocoziner
 Il Chocobosco
 Domande su di me?",""
"Chocoboy
“È come un sensore, si attiva
 quando avverte l'odore del Chocobo.”",""
"Chocoboy
“Suona una melodia che provoca nel
 Chocobo una strana reazione.”",""
"Chocoboy
“Esistono 7 Chocoboschi.
 Uno sembra essere terra sacra......
 In tutti gli altri 6 vivono i Chocobo.”",""
"Chocoboy
“Io? Sono un cattura-Chocobo esperto.
 I Chocobo sono la mia specialità.”",""
"Chocoboy
“Cosa posso fare per te?”
 1 suggerimento {Yellow}:{White} 100 guil
 Erba Ghisal {Yellow}:{White} 5x600 guil
 Domande {Yellow}:{White} quasi gratis, 10 guil
 Niente",""
"Chocoboy
“Questo è il ‘bosco della lontananza':
 cerca lontano, lontano!”",""
"Chocoboy
“Grazie mille!”",""
