"eng","Comment"
"Chocoboy
“Here...choco, choco, choco...”",""
"Chocoboy
“I SAID COME HERE CHOCOBO!!!  please...”",""
"Chocoboy
“Heh, heh, {WhiteBlink}heh!{White}  How's that for ya!”",""
"Chocoboy
“Ahhhh... Well, that's the way it's done.
 Call me anytime, eh?”",""
"(Oh no... My whistle was stolen...)",""
"(?...I got my whistle back.)",""
"Chocoboy
“Huh?  Stolen?  I told you to be careful...”",""
"“Heh, heh... Ah, that's too bad.
 You'll have to buy a new one.
 700 Gil please.”
Pay it
Forget it",""
"Chocoboy
“You have a question?  Go ahead, shoot.”
About [ChocoSonar]
About [ChocoZiner]
About [Chocobo Forest]
About [You]",""
"Chocoboy
“It's kinda like a sensor.  It even reacts to
 the chocobo's scent.  Cool, eh?”",""
"Chocoboy
“The sound causes a crazy reaction
 for the chocobos.  Groovy, eh?”",""
"Chocoboy
“It's said there are 7 ‘Chocobo Forests'
 in the world.
 One's said to be on holy ground...
 Chocobos live in the other 6.  Rad, eh?”",""
"Chocoboy
“Me!?  I'm a master chocobo catcher.
 Chocobos are my expertise.”",""
"Chocoboy
“Yes, what can I get you?”
A hint                        100 Gil
Gysahl GreensX10       6,000 Gil
Question          Free, nah 10 Gil
Forget it",""
"Chocoboy
“‘Forest of Fun':
 Chocobowling with 4 bottles, 1 ball.”",""
"Chocoboy
“Thank you.”",""
"Chocoboy
“You don't have enough!”",""
"I guess I'll ride the chocobo outta here
I think I'll stay in this forest a bit longer",""
"“You rode the chocobo.”",""
"“Motion of pecking the ground.”",""
"Received [Meteor Stone]!",""
"Received [Flare Stone]!",""
"Received [Ultima Stone]!",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Expert{Blue}】{White}...”
{NewPage}
“You'll scare away the chocobo
 if you all come in.”",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Expert{Blue}】{White}...”",""
"Chocoboy
“Hey?  The chocobo gave you a hidden item?
 That's chocobo's way of showing affection.”",""
"Chocoboy
“The chocobos in this forest see you
 as ‘one of them'.
 You won't need to find anymore here.”",""
"Chocoboy
“Err... I'm losing my customer base.”",""
"Chocoboy
“Congrats on your catch!”",""
"Chocoboy
“Huh?  You still haven't found...
 Oh, nothing...”",""
"#cwwood6","292"
"Chocoboy
“Ready, and...”",""
"Chocoboy
“Congrats on your first catch!”",""
"Chocoboy
“It's my special way of
 saying thanks!”",""
"{Squall}
“Oh... I'm going now.”",""
"Chocoboy
“Hey, hold on a sec...
 Hold your chocobos...”",""
"Chocoboy
“To celebrate your first catch,
 I wanna give you a ‘chicobo' as a present.”",""
"{Squall}
“No, I'm not interested in a sma...”",""
"Chocoboy
“Come on, name it.”",""
"Chocoboy
“Ok, now that the theme song is playing,
 here's an explanation of ‘Chocobo World'.”",""
"Chocoboy
“It's real easy!!!",""
"Chocoboy
“From the menu's [Save],
 select ‘Chocobo World'.”",""
"Chocoboy
“Then, you can communicate with
 ‘Chocobo World'”",""
"Chocoboy
“Well, have a safe and fun journey!
 Bye!”",""
"Chocoboy
“How's it going?  Back for more, eh?
 Thanks for the business.”",""
"Chocoboy
“You want me to explain...?”
No
Yes",""
"Chocoboy
“Didn't think so!
 Well, good luck to ya.”",""
"“ChocoWhis menu.”
To detect:  [ChocoSonar]
To catch:   [ChocoZiner]
Help Me
No way, I'm not doing this",""
"Chocoboy
“So!  You wanna catch a chocobo?”
Yes
No",""
"Chocoboy
“You need a whistle to catch one.
 It's called a {Yellow}[ChocoWhis]{White}.  Want one?”
Are you going to charge me?
No thanks",""
"Chocoboy
“Nah, I won't charge you.
 Here, there's two types, ok?”",""
"Chocoboy
“...But, it's gonna cost you 1,000 Gil
 for {YellowBlink}‘my lecture'{White} on how to use'em.”
...Pay it
Forget it...",""
"Chocoboy
“Thanks.”",""
"Chocoboy
“Allow me to explain.  The 2 whistles are for
 {Yellow}location{White}, which is the [{Yellow}ChocoSonar{White}], and
 {Yellow}action{White}, which is the [{Yellow}ChocoZiner{White}].”",""
"Chocoboy
“If you sound the [{Yellow}ChocoZiner{White}]
 somewhere in this forest, ‘chicobos' will
 {WhiteBlink}fall{White} from outta nowhere.”
{NewPage}
“You can tell {WhiteBlink}where{White} by the
 [{Yellow}ChocoSonar{White}]'s sound.
 Select the whistle with the {x0527}
 and hold {x0524} while walking and sounding.”",""
"{Squall}
“I don't want any small ones.
 I need to be able to ride it.”",""
"Chocoboy
“Hold your chocobos...
 When there's only {YellowBlink}1{White} ‘chicobo' left,
 the ‘mother chocobo' gets worried
 and starts looking for it.”",""
"{Squall}
“So that's when you catch it...”",""
"Chocoboy
“EXACTLY!”",""
"Chocoboy
“They're quite well behaved.”",""
"Chocoboy
“Let me review everything with you.
 First, {x0527} to select the [{Yellow}Sonar{White}],
 and {x0524} to sound it.”
{NewPage}
“{WhiteBlink}A different sound{White} tells you
 where the chicobos are.”
{NewPage}
“Then, {x0527} to select the [{Yellow}Ziner{White}]
 and {x0524} for them to {WhiteBlink}fall{White}.”",""
"Chocoboy
“When you talk to the lone ‘chicobo',
 BOOM!  The mother appears.”",""
"Chocoboy
“By the way, the [{Yellow}Sonar{White}] sound when
 they're {WhiteBlink}not around{White} is...”",""
"Chocoboy
“And the [{Yellow}Sonar{White}] sound when
 they {WhiteBlink}are around{White} is...”",""
"Chocoboy
“Got it?  I hope so.”",""
"Chocoboy
“Hey?  You look concerned.
 That's where I come in!”
{NewPage}
“Press {x0527} and select [{Yellow}Help Me{White}] and for a
 ‘{YellowBlink}Bargain Price{White}', I'll catch one for you.”",""
"Chocoboy
“Oh, and one thing:
 if you sound the ‘Ziner' where there are {Yellow}no{White}
 chicobos around, your whistle will be {Yellow}stolen{White}!
 After that, you'll have to ‘{YellowBlink}pay{White}' for it.”",""
"Chocoboy
“Well, good luck to ya!”",""
"“Did you call me?  Give up?
 Yeah, I thought so.  I suggest you give up.
 That will be 1,200 Gil please.”
Pay it
No way",""
"Chocoboy
“Thanks!
 Watch the master in action!”",""
"Chocoboy
“Here...choco, choco, choco...”",""
"Chocoboy
“I SAID COME HERE CHOCOBO!!!  please...”",""
"Chocoboy
“Heh, heh, {WhiteBlink}heh!{White}  How's that for ya!”",""
"Chocoboy
“Ahhhh... Well, that's the way it's done.
 Call me anytime, eh?”",""
"(Oh no... My whistle was stolen...)",""
"(?...I got my whistle back.)",""
"Chocoboy
“Huh?  Stolen?  I told you to be careful...”",""
"“Heh, heh... Ah, that's too bad.
 You'll have to buy a new one.
 700 Gil please.”
Pay it
Forget it",""
"Chocoboy
“You have a question?  Go ahead, shoot.”
About [ChocoSonar]
About [ChocoZiner]
About [Chocobo Forest]
About [You]",""
"Chocoboy
“It's kinda like a sensor.  It even reacts to
 the chocobo's scent.  Cool, eh?”",""
"Chocoboy
“The sound causes a crazy reaction
 in the chocobos.  Groovy, eh?”",""
"Chocoboy
“It's said there are 7 ‘Chocobo Forests'
 in the world.
 One's said to be on holy ground...
 Chocobos live in the other 6.  Rad, eh?”",""
"Chocoboy
“Me!?  I'm a master chocobo catcher.
 Chocobos are my expertise.”",""
"Chocoboy
“Yes, what can I get you?”
A hint                        100 Gil
Gysahl GreensX5        3,000 Gil
Question          Free, nah 10 Gil
Forget it",""
"Chocoboy
“‘Forest of Solitude':
 Search carefully where the [{Yellow}Sonar{White}] reacts.”",""
"Chocoboy
“Thank you.”",""
"Chocoboy
“You don't have enough!”",""
"I guess I'll ride the chocobo outta here
I think I'll stay in this forest a bit longer",""
"“You rode the chocobo.”",""
"“Motion of pecking the ground.”",""
"Received [Protect Stone]!",""
"Received [Meteor Stone]!",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Intermediate{Blue}】{White}...”
{NewPage}
“You'll scare away the chocobo
 if you all come in.”",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Intermediate{Blue}】{White}...”",""
"Chocoboy
“Hey... I'm the one who found it first...
 I didn't steal it because that's
 chocobo's way of showing affection.”",""
"Chocoboy
“Even if I blow the ziner, it's no use.
 I want to be considered ‘one of them', too!”",""
"Chocoboy
“I won't make a business out of this.
 Would that make a difference?”",""
"Chocoboy
“C...Congrats on your c...catch...”",""
"Chocoboy
“...W-W-What?  W-What's the matter???”",""
"Chocoboy
“Huh...”",""
"Chocoboy
“...Yes.”",""
"Chocoboy
“Ahhh...”",""
"“C-C-Cards?  Y-Yeah, let's play!”
Yes
No
Forget it, just move",""
"{Squall}
“Sorry, but...just a little more.”",""
"Zell
“Sorry...just a bit more.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 FH's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“You know rules
 unfamiliar to this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"#cwwood5","291"
"Chocoboy
“Ready, and...”",""
"Chocoboy
“Congrats on your first catch!”",""
"Chocoboy
“It's my special way of
 saying thanks!”",""
"{Squall}
“Oh... I'm going now.”",""
"Chocoboy
“Hey, hold on a sec...
 Hold your chocobos...”",""
"Chocoboy
“To celebrate your first catch,
 I wanna give you a ‘chicobo' as a present.”",""
"{Squall}
“No, I'm not interested in a sma...”",""
"Chocoboy
“Come on, name it.”",""
"Chocoboy
“Ok, now that the theme song is playing,
 here's an explanation of ‘Chocobo World'.”",""
"Chocoboy
“It's real easy!!!",""
"Chocoboy
“From the menu's [Save],
 select ‘Chocobo World'.”",""
"Chocoboy
“Then, you can communicate with
 ‘Chocobo World'”",""
"Chocoboy
“Well, have a safe and fun journey!
 Bye!”",""
"Chocoboy
“How's it going?  Back for more, eh?
 Thanks for the business.”",""
"Chocoboy
“You want me to explain...?”
No
Yes",""
"Chocoboy
“Didn't think so!
 Well, good luck to ya.”",""
"“ChocoWhis menu.”
To detect: [ChocoSonar]
To catch:   [ChocoZiner]
Help Me
No way, I'm not doing this",""
"Chocoboy
“So!  You wanna catch a chocobo?”
Yes
No",""
"Chocoboy
“You need a whistle to catch one.
 It's called a {Yellow}[ChocoWhis]{White}.  Want one?”
Are you going to charge me?
No thanks",""
"Chocoboy
“Nah, I won't charge you.
 Here, there's two types, ok?”",""
"Chocoboy
“...But, it's gonna cost you 1,000 Gil
 for {YellowBlink}‘my lecture'{White} on how to use'em.”
...Pay it
Forget it...",""
"Chocoboy
“Thanks.”",""
"Chocoboy
“Allow me to explain.  The 2 whistles are for
 {Yellow}location{White}, which is the [{Yellow}ChocoSonar{White}], and
 {Yellow}action{White}, which is the [{Yellow}ChocoZiner{White}].”",""
"Chocoboy
“If you sound the [{Yellow}ChocoZiner{White}]
 somewhere in this forest, ‘chicobos' will
 {WhiteBlink}fall{White} from outta nowhere.”
{NewPage}
“You can tell {WhiteBlink}where{White} by the
 [{Yellow}ChocoSonar{White}]'s sound.
 Select the whistle with the {x0527}
 and hold {x0524} while walking and sounding.”",""
"{Squall}
“I don't want any small ones.
 I need to be able to ride it.”",""
"Chocoboy
“Hold your chocobos...
 When there's only {YellowBlink}1{White} ‘chicobo' left,
 the ‘mother chocobo' gets worried
 and starts looking for it.”",""
"{Squall}
“So that's when you catch it...”",""
"Chocoboy
“EXACTLY!”",""
"Chocoboy
“They're quite well behaved.”",""
"Chocoboy
“Let me review everything with you.
 First, {x0527} to select the [{Yellow}Sonar{White}],
 and {x0524} to sound it.”
{NewPage}
“{WhiteBlink}A different sound{White} tells you
 where the chicobos are.”
{NewPage}
“Then, {x0527} to select the [{Yellow}Ziner{White}]
 and {x0524} for them to {WhiteBlink}fall{White}.”",""
"Chocoboy
“When you talk to the lone ‘chicobo',
 BOOM!  The mother appears.”",""
"Chocoboy
“By the way, the [{Yellow}Sonar{White}] sound when
 they're {WhiteBlink}not around{White} is...”",""
"Chocoboy
“And the [{Yellow}Sonar{White}] sound when
 they {WhiteBlink}are around{White} is...”",""
"Chocoboy
“Got it?  I hope so.”",""
"Chocoboy
“Hey?  You look concerned.
 That's where I come in!”
{NewPage}
“Press {x0527} and select [{Yellow}Help Me{White}] and for a
 ‘{YellowBlink}Bargain Price{White}', I'll catch one for you.”",""
"Chocoboy
“Oh, and one thing:
 if you sound the ‘Ziner' where there are {Yellow}no{White}
 chicobos around, your whistle will be {Yellow}stolen{White}!
 After that, you'll have to ‘{YellowBlink}pay{White}' for it.”",""
"Chocoboy
“Well, good luck to ya!”",""
"“Did you call me?  Give up?
 Yeah, I thought so.  I suggest you give up.
 That will be 1,200 Gil please.”
Pay it
No way",""
"Chocoboy
“Thanks!
 Watch the master in action!”",""
"Chocoboy
“Here...choco, choco, choco...”",""
"Chocoboy
“I SAID COME HERE CHOCOBO!!!  please...”",""
"Chocoboy
“Heh, heh, {WhiteBlink}heh!{White}  How's that for ya!”",""
"Chocoboy
“Ahhhh... Well, that's the way it's done.
 Call me anytime, eh?”",""
"(Oh no... My whistle was stolen...)",""
"(?...I got my whistle back.)",""
"Chocoboy
“Huh?  Stolen?  I told you to be careful...”",""
"“Heh, heh... Ah, that's too bad.
 You'll have to buy a new one.
 700 Gil please.”
Pay it
Forget it",""
"Chocoboy
“You have a question?  Go ahead, shoot.”
About [ChocoSonar]
About [ChocoZiner]
About [Chocobo Forest]
About [You]",""
"Chocoboy
“It's kinda like a sensor.  It even reacts to
 the chocobo's scent.  Cool, eh?”",""
"Chocoboy
“The sound causes a crazy reaction
 in the chocobos.  Groovy, eh?”",""
"Chocoboy
“It's said there are 7 ‘Chocobo Forests'
 in the world.
 One's said to be on holy ground...
 Chocobos live in the other 6.  Rad, eh?”",""
"Chocoboy
“Me!?  I'm a master chocobo catcher.
 Chocobos are my expertise.”",""
"Chocoboy
“Yes, what can I get you?”
A hint                        100 Gil
Gysahl GreensX10       6,000 Gil
Question          Free, nah 10 Gil
Forget it",""
"Chocoboy
“‘The Enclosed Forest':
 Collect on outer side, then go in.”",""
"Chocoboy
“Thank you.”",""
"Chocoboy
“You don't have enough!”",""
"I guess I'll ride the chocobo outta here
I think I'll stay in this forest a bit longer",""
"“You rode the chocobo.”",""
"“Motion of pecking the ground.”",""
"Received [Meteor Stone]!",""
"Received [Holy Stone]!",""
"Received [Ultima Stone]!",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Expert{Blue}】{White}...”
{NewPage}
“You'll scare away the chocobo
 if you all come in.”",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Expert{Blue}】{White}...”",""
"Chocoboy
“Hey?  The chocobo gave you a hidden item?
 That's chocobo's way of showing affection.”",""
"Chocoboy
“The chocobos in this forest see you
 as ‘one of them'.
 You won't need to find anymore here.”",""
"Chocoboy
“Err... I'm losing my customer base.”",""
"Chocoboy
“Congrats on your catch!”",""
"Chocoboy
“Huh?  You still haven't found...
 Oh, nothing...”",""
"#cwwood4","290"
"“You had [600 Gil] snatched away from you!”",""
"Received [Gyshal Greens]!",""
"{Squall}
“Are you going to give me something?”",""
"“Received [Chocobo Card]!”",""
"Chocoboy
“I'm a bit...jealous...”",""
"Chocoboy
“...You're last ‘Help me'?”
That's right
No thanks",""
"Chocoboy
“...Maybe I'll see you again.
 Thanks for the business.”",""
"Chocoboy
“I hate to say good-bye to ya.”",""
"Chocoboy
“Chocobos from all over the world are here!
 Whoa!  What a momentous occasion!”",""
"Chocoboy
“Huh?  I see you already found this forest.
 It took me three long years...
 This is the chocobo's holy ground.
 Can't do business here.”",""
"Chocoboy
“There are quite a number of
 chocobos from all over.
 Wonder what happens if all of'em come?”",""
"Chocoboy
“Looks like the mother chocobos from
 each forest are gathered here.”",""
"Chocoboy
“Well, this is the last time you'll
 see me in action.”",""
"Chocoboy
“Here...choco, choco, choco...”",""
"Chocoboy
“I SAID COME HERE CHOCOBO!!!  please...”",""
"Chocoboy
“Heh, heh, {WhiteBlink}heh!{White}  How's that for ya!”",""
"Chocoboy
“S-See ya!  See you around,
 ‘somewhere, someday'!!!”",""
"Chocoboy
“How'bout a hint?  I won't charge ya.”
Hint 1
Hint 2",""
"I guess I'll ride the chocobo and get going
I think I'll stay in this forest a bit longer",""
"“You rode the chocobo.”",""
"“Motion of pecking the ground.”",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest】{White}...
 Don't come in as a group!
 This place is especially special.”",""
"#cwwood3","289"
"Chocoboy
“Ready, and...”",""
"Chocoboy
“Congrats on your first catch!”",""
"Chocoboy
“It's my special way of
 saying thanks!”",""
"{Squall}
“Oh... I'm going now.”",""
"Chocoboy
“Hey, hold on a sec...
 Hold your chocobos...”",""
"Chocoboy
“To celebrate your first catch,
 I wanna give you a ‘chicobo' as a present.”",""
"{Squall}
“No, I'm not interested in a sma...”",""
"Chocoboy
“Come on, name it.”",""
"Chocoboy
“Ok, now that the theme song is playing,
 here's an explanation of ‘Chocobo World'.”",""
"Chocoboy
“It's real easy!!!",""
"Chocoboy
“From the menu's [Save],
 select ‘Chocobo World'.”",""
"Chocoboy
“Then, you can communicate with
 ‘Chocobo World'”",""
"Chocoboy
“Well, have a safe and fun journey!
 Bye!”",""
"Chocoboy
“How's it going?  Back for more, eh?
 Thanks for the business.”",""
"Chocoboy
“You want me to explain...?”
No
Yes",""
"Chocoboy
“Didn't think so!
 Well, good luck to ya.”",""
"“ChocoWhis menu.”
To detect: [ChocoSonar]
To catch:   [ChocoZiner]
Help Me
No way, I'm not doing this",""
"Chocoboy
“So!  You wanna catch a chocobo?”
Yes
No",""
"Chocoboy
“You need a whistle to catch one.
 It's called a {Yellow}[ChocoWhis]{White}.  Want one?”
Are you going to charge me?
No thanks",""
"Chocoboy
“Nah, I won't charge you.
 Here, there's two types, ok?”",""
"Chocoboy
“...But, it's gonna cost you 1,000 Gil
 for {YellowBlink}‘my lecture'{White} on how to use'em.”
...Pay it
Forget it",""
"Chocoboy
“Thanks.”",""
"Chocoboy
“Allow me to explain.  The 2 whistles are for
 {Yellow}location{White}, which is the [{Yellow}ChocoSonar{White}], and
 {Yellow}action{White}, which is the [{Yellow}ChocoZiner{White}].”",""
"Chocoboy
“If you sound the [{Yellow}ChocoZiner{White}]
 somewhere in this forest, ‘chicobos' will
 {WhiteBlink}fall{White} from outta nowhere.”
{NewPage}
“You can tell {WhiteBlink}where{White} by the
 [{Yellow}ChocoSonar{White}]'s sound.
 Select the whistle with the {x0527}
 and hold {x0524} while walking and sounding.”",""
"{Squall}
“I don't want any small ones.
 I need to be able to ride it.”",""
"Chocoboy
“Hold your chocobos...
 When there's only {YellowBlink}1{White} ‘chicobo' left,
 the ‘mother chocobo' gets worried
 and starts looking for it.”",""
"{Squall}
“So that's when you catch it...?”",""
"Chocoboy
“EXACTLY!”",""
"Chocoboy
“They're quite well behaved.”",""
"Chocoboy
“Let me review everything with you.
 First, {x0527} to select the [{Yellow}Sonar{White}],
 and {x0524} to sound it.”
{NewPage}
“{WhiteBlink}A different sound{White} tells you
 where the chicobos are.”
{NewPage}
“Then, {x0527} to select the [{Yellow}Ziner{White}]
 and {x0524} for them to {WhiteBlink}fall{White}.”",""
"Chocoboy
“When you talk to the lone ‘chicobo',
 BOOM!  The mother appears.”",""
"Chocoboy
“By the way, the [{Yellow}Sonar{White}] sound when
 they're {WhiteBlink}not around{White} is...”",""
"Chocoboy
“And the [{Yellow}Sonar{White}] sound when
 they {WhiteBlink}are around{White} is...”",""
"Chocoboy
“Got it?  I hope so.”",""
"Chocoboy
“Hey?  You look concerned.
 That's where I come in!”
{NewPage}
“Press {x0527} and select [{Yellow}Help Me{White}] and for a
 ‘{YellowBlink}Bargain Price{White}', I'll catch one for you.”",""
"Chocoboy
“Oh, and one thing:
 if you sound the ‘Ziner' where there are {Yellow}no{White}
 chicobos around, your whistle will be {Yellow}stolen{White}!
 After that, you'll have to ‘{YellowBlink}pay{White}' for it.”",""
"Chocoboy
“Well, good luck to ya!”",""
"“Did you call me?  Give up?
 Yeah, I thought so.  I suggest you give up.
 That will be 1,200 Gil please.”
Pay it
No way",""
"Chocoboy
“Thanks!
 Watch the master in action!”",""
"Chocoboy
“Here...choco, choco, choco...”",""
"Chocoboy
“I SAID COME HERE CHOCOBO!!!  please...”",""
"Chocoboy
“Heh, heh, {WhiteBlink}heh!{White}  How's that for ya!”",""
"Chocoboy
“Ahhhh... Well, that's the way it's done.
 Call me anytime, eh?”",""
"(Oh no... My whistle was stolen...)",""
"(?...I got my whistle back.)",""
"Chocoboy
“Huh?  Stolen?  I told you to be careful...”",""
"“Heh, heh... Ah, that's too bad.
 You'll have to buy a new one.
 700 Gil please.”
Pay it
Forget it",""
"Chocoboy
“You have a question?  Go ahead, shoot.”
About [ChocoSonar]
About [ChocoZiner]
About [Chocobo Forest]
About [You]",""
"Chocoboy
“It's kinda like a sensor.  It even reacts to
 the chocobo's scent.  Cool, eh?”",""
"Chocoboy
“The sound causes a crazy reaction
 in the chocobos.  Groovy, eh?”",""
"Chocoboy
“It's said there are 7 ‘Chocobo Forests'
 in the world.
 One's said to be on holy ground...
 Chocobos live in the other 6.  Rad, eh?”",""
"Chocoboy
“Me!?  I'm a master chocobo catcher.
 Chocobos are my expertise.”",""
"Chocoboy
“Yes, what can I get you?”
A hint                        100 Gil
Gysahl GreensX5        3,000 Gil
Question          Free, nah 10 Gil
Forget it",""
"Chocoboy
“‘The Roaming Forest':
 Be careful where the [{Yellow}Sonar{White}] reacts.”",""
"Chocoboy
“Thank you.”",""
"Chocoboy
“You don't have enough!”",""
"I guess I'll ride the chocobo outta here
I think I'll stay in this forest a bit longer",""
"“You rode the chocobo.”",""
"“Motion of pecking the ground.”",""
"Received [Shell Stone]!",""
"Received [Holy Stone]!",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Intermediate{Blue}】{White}...”
{NewPage}
“You'll scare away the chocobo
 if you all come in.”",""
"Chocoboy
“You're in {Blue}【Chocobo's Forest: {White}Intermediate{Blue}】{White}...”",""
"Chocoboy
“Hey?  The chocobo gave you a hidden item?
 That's chocobo's way of showing affection.”",""
"Chocoboy
“The chocobos in this forest see you
 as ‘one of them'.
 You won't need to find anymore here.”",""
"Chocoboy
“Err... I'm losing my customer base.”",""
"Chocoboy
“Congrats on your catch!”",""
"Chocoboy
“Huh?  You still haven't found...
 Oh, nothing...”",""
"#cwwood2","288"
"Chocoboy
“Ready, and...”",""
"Chocoboy
“Congrats on your first catch!”",""
"Chocoboy
“It's my special way of
 saying thanks!”",""
"{Squall}
“Oh... I'm going now.”",""
"Chocoboy
“Hey, hold on a sec...
 Hold your chocobos...”",""
"Chocoboy
“To celebrate your first catch,
 I wanna give you a ‘chicobo' as a present.”",""
"{Squall}
“No, I'm not interested in a sma...”",""
"Chocoboy
“Come on, name it.”",""
